Tarih,Olay,Ülke,Etki
2001-09-11,İkiz Kuleler Saldırısı,ABD,Çok Yüksek
2008-09-15,Lehman Brothers'ın Batışı,ABD,Yüksek
2020-03-11,COVID-19 Pandemi İlanı,Dünya,Çok Yüksek
2011-03-11,Fukushima Nükleer Felaketi,Japonya,Yüksek
2016-06-23,Brexit Referandumu,İngiltere,Orta
2022-02-24,Rusya'nın Ukrayna'yı İşgali,Ukrayna,Çok Yüksek
2005-08-29,Katrina Kasırgası,ABD,Yüksek
2010-01-12,Haiti Depremi,Haiti,Yüksek
2019-04-15,Notre Dame Yangını,Fransa,Düşük
2018-03-18,Cambridge Analytica Skandalı,ABD,Orta
1960-01-01,İkiz Kuleler Saldırısı,ABD,Çok Yüksek
1961-01-01,Lehman Brothers'ın Batışı,ABD,Yüksek
1962-01-01,COVID-19 Pandemi İlanı,Dünya,Çok Yüksek
1963-01-01,Fukushima Nükleer Felaketi,Japonya,Yüksek
1964-01-01,Brexit Referandumu,İngiltere,Orta
1965-01-01,Rusya'nın Ukrayna'yı İşgali,Ukrayna,Çok Yüksek
1966-01-01,Katrina Kasırgası,ABD,Yüksek
1967-01-01,Haiti Depremi,Haiti,Yüksek
1968-01-01,Notre Dame Yangını,Fransa,Düşük
1969-01-01,Cambridge Analytica Skandalı,ABD,Orta
1970-01-01,İkiz Kuleler Saldırısı,ABD,Çok Yüksek
1971-01-01,Lehman Brothers'ın Batışı,ABD,Yüksek
1972-01-01,COVID-19 Pandemi İlanı,Dünya,Çok Yüksek
1973-01-01,Fukushima Nükleer Felaketi,Japonya,Yüksek
1974-01-01,Brexit Referandumu,İngiltere,Orta
1975-01-01,Rusya'nın Ukrayna'yı İşgali,Ukrayna,Çok Yüksek
1976-01-01,Katrina Kasırgası,ABD,Yüksek
1977-01-01,Haiti Depremi,Haiti,Yüksek
1978-01-01,Notre Dame Yangını,Fransa,Düşük
1979-01-01,Cambridge Analytica Skandalı,ABD,Orta
1980-01-01,İkiz Kuleler Saldırısı,ABD,Çok Yüksek
1981-01-01,Lehman Brothers'ın Batışı,ABD,Yüksek
1982-01-01,COVID-19 Pandemi İlanı,Dünya,Çok Yüksek
1983-01-01,Fukushima Nükleer Felaketi,Japonya,Yüksek
1984-01-01,Brexit Referandumu,İngiltere,Orta
1985-01-01,Rusya'nın Ukrayna'yı İşgali,Ukrayna,Çok Yüksek
1986-01-01,Katrina Kasırgası,ABD,Yüksek
1987-01-01,Haiti Depremi,Haiti,Yüksek
1988-01-01,Notre Dame Yangını,Fransa,Düşük
1989-01-01,Cambridge Analytica Skandalı,ABD,Orta
